ユーザ,システム
うん、でも楽だよ。,応答なし
働きながら勉強するってこと?,応答なし
何が?,応答なし
両方あると思う。,応答なし
あー、気持ち悪い。,でもさすがにねえ2人とも結
えっ、きれいですかー。,応答なし
キムチ鍋ってチゲなべってことでしょう。,応答なし
そうなんだ。え、じゃあ、専業主婦願望もあるのかなー。そういうわけではない?,応答なし
すごい顔がタイプな人がいたけど、女の子慣れしすぎてて、これじゃないと思って。,応答なし
違う。,応答なし
Cと、Mさんなんでしょう。,応答なし
エコール・ド・なんとかってあるねー。,応答なし
なんかさ、大みそかにオールナイト行きたいねー。,応答なし
そ、そ、そ、そ、そう。うん。,応答なし
どういうとこに気を遣ってるんですか?,応答なし
あ、あれじゃない?季節だ、季節。冬?,応答なし
年末、十日ぐらい行ってたから。んで、ま、それ行くにあたっては、Oの方から、いやほとほと自分もこんなことになると思ってなかったんでー、悪いけど、何か頭を下げられたっていうとこがあるのね。,応答なし
うんうん。うんうんうん。でもあれは半分ビジネストリップのつきそいで。,応答なし
留学時代行ってた大学自体は寮から、めちゃめちゃ遠いかった。,応答なし
E短。E。あっ、いいわ。,うんそうだねーきっとわかる
もうわかんないでしょう。はんでとべしってなんだろうと思うでしょう、これ。,応答なし
そろそろですね。結構早いですね。,応答なし
何、68とか?まじどんぴしゃ?当たった。68かあ。あれ、大学時代って65とかだったっけ?,応答なし
あ、そうだ、つきみ野とか、あとなんだ、つくし野とか。,応答なし
ええっと、今まで行ったのはー、えーとー。タイとー、マレーシアとー。,応答なし
ブイヤベースね、ほんと凝ったっていうか、1回食べて感激した。,そう
でも、そうか、そういうのってあったのか。,応答なし
あとで聞いてみる?,応答なし
。日本語教育で話してもね、そういう関連性理論とかやってる人、ほとんどいませんからね。,応答なし
台湾だったと思います、中国に語学留学行ったときは。,へえーっていう感じで
なんかマウス使って書いたりするやつ。,そうだよねー、でもさっき
5時間て、2人で2500円にしかならんじゃん。違うよ、1人だよ。,応答なし
くしもんは出てこんかったしさー、少ないのにさー、1人5000円たっけーなーと思ってさー、でもなんかあすこ飲み物がいっぱい出てきてー、ビールとか、なんかウーロン茶とかさー。ウーロン茶頼むとボトルごと出てくるの。,応答なし
それ、280円ぐらいじゃない。,応答なし
押さえとこっか?,応答なし
報奨金がつくし。,応答なし
神奈川、横浜なんですけど。,応答なし
うーん。でもやっぱ言えないよね。,もう、その辺の
そうそうそうそうそうそうそうそうそう。,なんで?
でもあったら食べるかもしれない。,あったっけねー?だ
え?あれちゃう。あれは、ママが何かだれやらにもろたてゆうて持ってきはったやつやで。デンドロのようなもんやて。,応答なし
すごく動物が好きなのね、うちのおい。で、コイがいるもんだからさー、コイにえさあげたり、ハトにえさあげたりするのが、すごい好きでさー。3日連続とかでさーコイにえさやりをするからね、親の方としては飽きるとかって言ってた。,応答なし
パチスロの台選べないとやなのよ。人がどいたとこ座るの嫌なんだよ。今日やめときゃよかったんだよ、もう。,応答なし
っていうか、あれはどうよ。,応答なし
ハリー・ポッターはいいけど、ほら、え、ポッターでしょ。ロンでしょ。ハーマオイニーでしょ。,応答なし
疲れるー。,だって、それさあ何時に終わるか分かんない
そうですか。,応答なし
1000円と1300のご飯があって、1300円出せば、結構な内容が食べれるってなったらわたしは1300円を選んじゃうのね、いつも。で、Bちゃんはいつも1000円の方を選ぶ感じなわけよ。,応答なし
おかずにならんもん。おかずちゃうから。,応答なし
抵抗あるわねえ。,うん、それはそれでいいじゃんとか思うけど
私もそこまではよく覚えてない。やった。,ほんとにー、すごい
何人来たの?穂積町でやるんだ。,応答なし
無理。,応答なし
自転車乗るの怖いんですね。,どうしましょう?
なんだよ。,応答なし
何が。,応答なし
今日買うよ。,応答なし
うちのTさんが、どうやって予稿集作っていいかわからないから、前のを見せてくれって言われたんですね。,そう
何人よ。,応答なし
そうそうそうそうそうそうそう、そうやと思う。そうじゃね、たぶん。厳しいこと言われとるなー。,応答なし
ねー?ゴマだねー。,応答なし
じゃ、Qさんだな。,応答なし
うーんとね。,うん、だから今はやっぱりおもしろ
あー、難しいね。,そうだよなっとか思ったりしてたりしたけど
ちゃ、置いてこんかったり、そんなことがあっていいの。,応答なし
文章力って重要だよー。,応答なし
違う、替えようとしたんやけどー、帰って。やけどさー、なんか私まだ1年5か月やってん、契約してね。それやったら、12か月以上の値段になるんやん。そんで、1年半たってると18か月以上の値段になるんやけどさー、4000円違うんや。あと1か月で待てばさー、4000円安くなるでさー、1か月ぐらい待とうと思って。,応答なし
あんまりね、印象に残らんかも、確かに。,応答なし
せっかく、迷子そうな子供を保護したのに、誘拐とか言われたら困るし、うーん。,そう
えっ、これはどういう、どういうふうに注意をされるの。,応答なし
カフェオレって、ミルク入ってるんじゃない?,応答なし
ふーん。A先生、びっくりしてなかった?せっけんなんて持ってって。,応答なし
こう、何か、あのー、製品の利用許諾書みたいな、読んでたら、その、載ってるんですよ。1回まですべての権利を全部その、譲ることができるってあったんで。,応答なし
日本のお菓子の型でそういうのあんじゃない。落雁か何かの、こうやって上からこうやっておさえんの。パイの皮かなんかこういう風にやるとこれが浮き出てくんじゃないの。,応答なし
ああ、わっからへん。わっからへんって言っちゃだめ?わからない。わからないわ。,応答なし
お花をバックにみんな写真撮っていくんだって。,応答なし
なるほど。あっ、これね、高島屋に売ってたよ。,応答なし
Iちゃんに聞いてみて。,応答なし
そうよね。,応答なし
うん。,応答なし
あとでアルバムにはってたりする。,応答なし
うん、そー、これ。,あっさり系?
そんで?,応答なし
可児駅までだったら、お迎え行ってあげてもいいかなって。,うんそうだ
人間には用事ってものがあるから。うん。いいと思うんだけど。,応答なし
うん。どっちかが、時間的なゆとりとか、合わせられる人だ、うん、合わせることができれば、まだー。私が結構時間的に融通が利くからよかったのかもしれない。。,応答なし
2じゃない。94、3だ。,1つ違うのは
え、フランス語話したいって言ってるのってどっちなの。お母さんか、お父さん。,応答なし
企業で働いてる日本語教える人がいて、その人、知り合いからあなた先生やってるからちょっと来てくれない、お給料出すわっていう話で行ったんだって。,ね
うん。そうだねー。うん、そうだよねー、確かに。どうしてるのかなー。なんか、L君に、なんか、L君の会社の人を、紹介してもらうとかっいって言ってて。うん。で、あれ?友だち連れてくっつったかなー。なんか、4人ぐらいで食事をすることになってるんだとかいって、言ってて、ああ、そうなんだーとか。うーん。,応答なし
なぜだろう。,030ちゃん、どうしたの?って聞くとさー
30分ほど。よし、私は終わったぞ。まとめと訳も終わったぞ。,応答なし
だってさあ、すっごい、すごい3人で折ったんだよ。333羽ね。あーだけ、クラスで折るのはさあ、1人、1人30羽だけど。3人で折ると333。だからね。あー、ここ。はいよ。,応答なし
で、どうしたの?,応答なし
結構。,応答なし
あ、ここだけカーテン。,え?それじゃもういい
シートとか。正月どうしてた?,応答なし
うーん、よく、あっ、お腹がなった。あー、大変。あっ、これはやっとる。,応答なし
そう、そう、そう。普通そこで電車止まったらねえ、帰るじゃないですかー。でも、それでも突き進んでいくぞーっていう。,応答なし
うん。ドコモ。うん。,応答なし
あ、そ、うん、私もあそこの機械使えないから、時間があったらあっち行きますって書いたんだけど。,
うん、あ、利いたじゃん、,あのー?C
前のやつはすいませんね。,あ、そうなんだーすごいですよえって言われ
ありがとうございます。,応答なし
机の、机の色落ちちゃってる。,応答なし
遊べはするけどー、旅行できない友達っているよね。,あそこにいた
だってあの雨の中で待つシーンとかさ。,応答なし
バーム、飲もうかな。,ああいうのって
でもさ、何か、太ってるからかなー、何か。,あっちの方が
英語とかだったらよけいにね。,応答なし
あー、そういうのがあるんですか。,応答なし
あー。そ、でもねー、いつもさあ、すごい、私とー、同級生の子が、お父さんとずっと仕事でかかわりがあって、あのー、お歳暮を毎年持ってくるようになったんよー。やっぱ若いからさ、感覚若いじゃん。,なん
何用だろうね。えっ、ここのテーブルだけあるんだけど、ちなみに。,応答なし
うん。,へえー、そんなにすごいんですか?
床材が。あんまりいい木じゃなかったんだけど、弱い、何の板、す、杉だっかなんかの木だったから、弱いの。木がやらかいからさ。,応答なし
やってたような気がするな。なんか足を上げてとか。,応答なし
いや、別にいいけど、CってMさんなんでしょう。,応答なし
あ、そうなのかなーとも、まあ思うんだけどー、結構でもさ、薬を飲まないで治す方法ってあるの?もう耐えられなかったよ、F054の場合は。,応答なし
私の旦那、やっぱりほら、尿酸値が高いから、健康診断で出るじゃない。,応答なし
この靴はどんな方、向きや。,応答なし
いっぱい来た。7、6人ぐらい来た。J3人ボーイズが遠足だったのに雨だったから、中止になって来て、ほらって。,応答なし
うん。,なんかねー、ああいうのってね
うん。うるさかったねえ。ほんと激しく迷惑なんだよね。でもVでさあ、ときどきさあ、あれ見ない?孫悟空の書いてあるやつ。ドラゴンボールZんさあ、,応答なし
あー、あ、そうかそうか。なるほど。,まあさすが
F071さん、今、靴さわったからウエットティッシュで。靴ふい、じゃあ手ふいていって、消毒しちゃった。ねえ。,なん
はー。そう、ジョージアもブルーマウンテンはおいしいの。でもな、最近出たな、ヘーゼルナッツアンドモカ?,応答なし
速く、絵、描かなあかんやん。,じゃーまた次の機会に
うん。,応答なし
そうだよねー。,は今年、去年までで結構お世話
出身地までプロフィールに書くなら方言しゃべった方がいいの?,応答なし
北海道コロッケ?,んー、札幌に住んでると何かお
すごく心配ネタが多いよね。,なんで?え、
違う違う。そのとおり。そのとおり、いいぞー。いいぞ、田中。いいぞ、田中。,応答なし
ま、書いときます。,応答なし
まあね。,うん、それはそれでいいんだけどさー033
うん、寄付、だってそれで。,応答なし
H大学かー。うん、全く、どこの人のつもりで言ってんのかなとか思っちゃった。,応答なし
ばかかお前、ふざけんなこのやろう。,応答なし
うん、いるからって。いつまでですかーって言ったら10日までって言ってから、あのー、チケットが取れなかったんですって申し訳なさそーに、取れなかったんですがって言ってたけど。,応答なし
ほんと、まともに就職してるの2人ぐらいだからな、A君の友達。,応答なし
あーそう。,うん、さんも言ってたけどさっきはそういうこと
すっごい汚い、めちゃめちゃ汚いよねー。,応答なし
公家言葉。,わかるよねえ、でもそのころはーほんとにさあ
。そうじゃなくて、F106もその人なら好きなんだけど、もう1人は不細工だと思うんだって。,応答なし
ね、うん。今年はよかったですけどね。ね、うん。うーん。時間を守らなきゃいけないから疲れるよね。あの、何にも立ってるだけなんだけど、それがよけいつらいのよね。で、本読みはじめると今度はそっちに気を取られて忘れっちゃうでしょ、で、困るでしょ。,応答なし
でもね、犬とか飼ったらご主人とかすっごい喜ぶと思うわね。,応答なし
あなた今週忙しいだろうけど、今週は頑張って。でもあしたで終わりじゃん、今週も。,そう
ザギンでパリカン飲むみたいなもんよ。,ほんとねえ、あれだわ
あー、合同で?,応答なし
かなー。,はい、ありがとうございました!これいいですねって言って
ああ、それしかねえや。そんなスーツケースごろごろ転がしていくわけねえじゃん。,そう
掃除で手は使うけど足はあんまり動いてないから運動にはならない。ことに雪が降っちゃうとえらいこってね。,応答なし
この間ベビーシッターしたの。,あ、そうですかー?それは
うーん。とか昔は何か、おしりがたれてる人がやだったかも。,応答なし
ああ、そうなんだ。,あっそうかーと思ってさねえって言ったら
しかもその次がさー、「情熱」なのんだって、Kinkiの。,応答なし
もう、何か、締め切り終わったんですか。,応答なし
うん。,あ、そうなの?じゃなかったらよかったんです
ステンドガラスってどうやって作るの。今、みんな、カルチャーセンターで作ってるじゃない。,応答なし
えらく汚くなってしまいました。,うん、でもそれはそれでねーさ
やられたー。うわ、かぼちゃが怖いな。,応答なし
みんな。,応答なし
トラックで取りにいって真っ黒んなって帰ってきたよ。,うん、そうだね
そうなん。,でも、まあまあねーっていう感じだけどなあって
超変な顔してそうや、でも。,うん?すごいいいねーって言う
生春巻きなんて作るんだ、すごいね。,応答なし
えー、抗生物質ともう1つは何やったかな。消炎剤。,応答なし
わたし一度すごい困ったのはさ、なんかのプロジェクトのときに、向こうがお金もらってるっていうのわたし全然知らなかったわけ。で、向こうはそのまんまその笹川のお金で続けるつもりだったらしいんだけども、向こうからSOSが入ってきてさ、なにかと思ったら、今年もお金もらえると思ったら、急きょ、もし今年もらうんであれば、東京サイドからアプライしてほしいって言ってきたっていうのね。,応答なし
イチローはずーっと努力を続けてきたかいがあって活躍できたのね。,応答なし
うんうんうん。入ってー、で、えーとー回ると、裏に回ると。うん。右手に行って、で、そうすると。それで。,応答なし
保健所であるとこもあんのかな。でも、保健所でやりますっていう通知は別にもらわなかったけど。,応答なし
うん。,応答なし
研究のテーマ、いろいろ広げてもまだ処理しきれないから、ある程度絞りながらやらないと、今やばいです。修論、どれしようってことになるし。,でも
へー。じゃ関西に遊びにいったら会えるじゃん?,応答なし
どうだろう、もう。はある。,へえーと思ってね?でもなんか
出てたよ、しかも1回に。,応答なし
うん。,応答なし
また一から、作り直さないといけなかったりするの。,ねーすごいよなあ
あの人、子供に対して熱心つーか、すごい厳しい。,応答なし
ミカン?,応答なし
笑えることない?,いいな、それ。なんかちょっとかわいそうだ
あのー、あれでしょう、あのー、,応答なし
キルフェボンはなんて天気がいいんだろうねっていう、そういう意味、のはず。,応答なし
うん。ないかなあ。,応答なし
あ、持ってるんだ。,応答なし
よく聞かないからわかんない。私ほんとね、ニュージーランドにねえ、オーストラリア行ってから、日本のやつについて行けなくなった。,応答なし
じゃあ、結構いいかもね。これも一応借りてきたんだれどさー。あんまり。なんかAに怒られそうな気がするわ。,応答なし
うん。凡人社だったっけ。,応答なし
丸4日間、関連性理論の集中講義をしてで5日目に、今度は若手によるワークショップやるのね。,そう
ありがとね。,ううん、何?えっとさ
うん、見てない。,あーやっぱりねえちゃんが一番かわ
板門店って何、よくわからん。,応答なし
わたしは知らないよ。,応答なし
へえー。サイズは?,応答なし
どうやって病院まで行けってわけ、猫、抱えてこいっていうわけ?,応答なし
そう。,うん、なんかもうーまあこうやってるけどねえって
ツバキの木があるのよね。で、ツバキのとこにチャドクガがあって。チャドクガってツバキの葉の裏に茶色く毛がピシーッて来るのよ。で、近くにこう目を近づけると、もう飛んでくるのよ、毛が。,応答なし
東京は、すごい求人はいっぱいあって、と聞いてきたよ、同僚から。,応答なし
うんうんうんうん。そうだねー。うーん。結構大変だよね。最近はBもね。膀胱炎になったっていうでしょう。ほんで、前もF054もなったでしょう。でも、F054の場合はー、薬局で働いててー、ずっと立っててー、自由にトイレに、行けないってのもあったしー、あと結構寒かったからー、たくさん着たよね。着てから仕事をするようにしたら治った,応答なし
三角すいと。,え、これでいいのかなー
結局あったんですか。,応答なし
まじめで地道な努力をこつこつとか、頑張り屋だって。,応答なし
いやらしいわ。,うん、わかるーっていうかそんなのでよかったんだ
めちゃくちゃ孤立してる。,いや、でも何かあのーも
バイパスねー、戻ってくるとき富士山見える。全然ね、運転席からは見えない。,応答なし
カマキリ。,あ、そうなの?今から行こう
あ、ごめん、ごめん。,あっそうかーとか言ってさっきの
私実習だけのつもり、だったんだけどー、じっしゅ、そのー統計の授業と、は取ろっかな。統計とあと情報処理?,応答なし
うんと、待ってね。,応答なし
うん、持ってるのに並ぶんだろうね、わからん。,応答なし
昨日か何か、「あるある大辞典」で亜鉛が大事とかっていうのをやってたんだね。見なかった?,応答なし
うん。だったら、だってそんなさ、すごいだから4時、4時なんだよー。それで、ちゃんと行ける人に頼んでよーって感じ。い、ここまでとかだけだってさー、たぶん、1番か2番ぐらいに遠いと思うのね。通勤時間みたいなのは。で、早く終わったって時間かかるのにさ、何であたしがやんなきゃいけないのーみたいな気持ち。,私
うん、なんていうんだっけ、あれ。,応答なし
そうそう。うちも今年、町内会もあってさー。だからー、何か、Bがねー、年中さんとか年長さんのときだったら、あたしはすごいベストなんだけどー。もし、だから、折れてもー、す、来年度みたいなのだったらー、しょうがないから引き受けるけど。今年は絶対に嫌だ。,応答なし
何人?,応答なし
今、彼女、別科が始まったもんだから、コースの主任やらされてんですよ。,応答なし
近ごろの若者はほんのりって言葉をよく使うんだよ。,応答なし
そうー、そう、なんかだれ、だれだっけな、Oがさ、あの人恋したよねとか言って。,応答なし
もううんざりするけど。,うーん、そうかもねえなあ
もう11月の末に締め切ったのはその若手のワークショップのほう。,ほんと、すごい
今度の集まりで、初めて、Bちゃんと遊べるからうれしいよね。,は
お金だしさー。えー、っていう。,応答なし
トランプソリティア。なんかソリティアってトランプだけじゃないんだね。,応答なし
うーん、でも何かちょっと。そうね、何か最近ずっとああいう本読んでなかったから。,応答なし
あっ、ほんと?,応答なし
混んでるっていうのが微妙なんだよね。すごい。あーあ。,応答なし
あ、それでもいいわね。,応答なし
最近覚えたのは、あのー,あめ玉。これどこの
ええ、あそこには入ってなかったので。じゃあ、私もバラバラに。,で
ハロウィンパーティーの衣装で頭の上にこうカンパリスプモーニのピンクつけてー、こうやって縛ってーてやろうと思っているの。,応答なし
うーん、そうそうそうそうそう。1人でいて抜けるもんじゃなかったりするからさー、かわいそうだなと思って。,応答なし
へえ、そんなことあるんだ。,応答なし
あ、そうそうだからあれを作ってくれるんだよ、きっと。カリフォルニアロールを作ってくれるんだよ。だからアボガドと、マグロは必須って書いてあったから。,応答なし
あっ、だめだもうー。,でもねえ?なんかそういうときにさ
そう。,まあ、いいよーとか言っておきながらさもしょうがね
あ、40名、みんな。,60人?30人は
うんうんうん。うーん出身,応答なし
すごいおいしかったよ、ブイヤベースって。ほんとに。上手にできたら。,応答なし
院は2年だよ。来,応答なし
家にいた。,応答なし
あの生徒、中国語、韓国語やって、今、ベトナム語やってますもの。,応答なし
2人とも結婚してんだね、営業部って。,応答なし
赤とか緑のー。,あ、そうなのかな?あの
ああ、あらかじめ、授業内容を、生徒に知らせて、準備してもらうって言うのはいいかもね。,そう
そっちの方が寒いよね。かわいそうだよ。おしり冷えたらね、ちょっとね、冷え性やね。かかととかね。,応答なし
R3さんもこっち来てるし。,そうですよね、私もその感じ
こうやって入っててね、ジュースが、おいしそーな100%のジュースとー、紅茶と、ジャム、ちょっと高級そうなジャムとー、なんかお菓子が、クッキーがこう入ったやつで、すごいおしゃれな。,応答なし
わたしいいかげんなときはすっごいいいかげんな生活だった。どーしようもない食生活とかしてたときあったね。,応答なし
うん。昨日ね、しゅ、あのー、研修、受けにいったの。,応答なし
でもねー、やっぱり両方やらないと。,あのときもあのときは
これもう消してもええ写真や、ほんまは。,応答なし
何、月給?,応答なし
あ、そうなんだ。,うんそっかーって感じでちゃんがさっ
飲み放題にすると、値段が一定になるから安全なことは安全ですけど。,でも
あー。,応答なし
大変なことやったね。,うん、そうだなーとか思ってるとこもあった
何か将来を考え出すと本当にブルーになってしまう。,やっぱり、自分の夢をかな
うん、いい。あっ、それで。ありがとうございます。人ん家に来て、充電するのは。,応答なし
大学と、自分のうちのなんて、ん、3XXXはあんまりまちがえないんだけど、一番まちがえんじゃない?3XXXだとか、XXだったか。,応答なし
というのがあったけど、私はね、音声訳をやっている人に、あのー、見本を見せてもらったんだけどー、読み聞かせとはまたちょっと違うんだろうけどー、うーん、なんだろう。実際、私たちの前で読み聞かせをやってもらったわけじゃないけどー、たぶんね、ページのめくり方とかリズムの組み方とかー、あとー、まあ、こんなのは典型的なんだけどー、えーっと、今はだれがしゃべ,応答なし
確かにバイト終わってから、これはやる気になれんね。,うんそう思うよー
L2先生はどこかの大学から引っ張られてでもこっちの大学にも引っ張られてきたみたいですよ。,応答なし
今回の飲み会は先生がかなり来てくれたということですよね。,何
たら、コロックだよねえ。,応答なし
俺見てないねん、ちゃんと。,応答なし
ほんと。なんのこっちゃ。,応答なし
学校から寮まで歩いて帰らんと行けなかったことが多かった。,だから私、大学
そのー、何が?フランスでの語学研修?,応答なし
触んなよ、そんなとこに。,応答なし
えー、でもそれはいけないでしょう。,応答なし
時給900円。,で、そのあとはもう1つなんかあるんだ
そうなんだー。,そ、でもなんかあの人たちもさあみんなすごいね
うーん。こういうのって別にさ、聞かれないよね、先生には、そうよねー。このまま渡されるよね、きっと。うん。,応答なし
たぶん、あーでも、10時半に終わったころは降っとったんで。うん。おあなも、何、川名駅とー、A大のちょうど中間ぐらいに住んどるんですけどね。,応答なし
めちゃめちゃいいね。,え、ほんと?なん
うん。俺も思って。ベクトルとかさ。それはえんかいわだろうとか。文系でもいきなりわかる何だらこんだら。,応答なし
大ハーツ大会をしよう。だってそのためにXさん帰ってくんだもん。,応答なし
それでおしまいと。,あーでも、あたしほんとはもっといろ色ん
あー、なるほどね。,応答なし
でー、そのー、うん、練習をしてからこの発声を。あいうえ、あ、え、い、う、え、お、あ、お。,応答なし
うーん、うちのおやじかCっぺかJか、あ、Jだめだな、休みねえからなあ。,応答なし
わたしと向こうの人の中間地点で会った、うん。,応答なし
派遣のバイトだと、1日限りのなんと、なんだろう。ウェートレスみたいなのとかはよくどうですかって紹介されます。,応答なし
うん、だんだん。,応答なし
家賃いくら?,応答なし
わたし、歳はSさんと同じぐらいかなあ。65か6か。,応答なし
きりないよ、あと3年間ぐらいもつかもよ。,036さん
フランス語、独学で学ぶのは挫折したんだ。,うん?なんかそんな感じが
私、大学1年のころの体重と今の体重とね、ゆうに10キロ違うよ。ほんとに。,応答なし
外資系企業に勤めたい。セレブな生活は夢だから。,応答なし
ちょっと日本語しゃべれるくらいなんだ。,応答なし
めちゃくちゃー、だるくなーいってか、そう、そういうことそういうこと。そういうことよ。なんとか、こっせーんって言ったら、なんとかじゃーなーいっていうんだよ。,応答なし
あー。,応答なし
で、その資格をもらって、まあ、あの、それはA先生が、その研究担当の1人だったから、あ、じゃあ、その関係で入ってもいいって言われて。で、まあ、それは。,応答なし
とりあえず入学祝いぐらいは買ってもらおうかなと。,応答なし
車買いかえるときに思ったけど、、これが欲しいって車ってないじゃんねー。,車で
あ、もうオッケーだ。全然オッケーです。,応答なし
おっきいのをね。うん。,へー、ほんとに?すごいおも
はい。ろく。,あっ、そうだったの?ほん
うん。1空間何秒とかあるの?,応答なし
うんうん、どんどん年齢不詳になっていくんだろうなと思う。,ねーでもさ
ひどい、ひどすぎるー。,すごい大変だわさあとかって思っちゃ
普段ぐうたらぐうたらしてるから、洗い物やって。,応答なし
現住所での居住期間。3年しかいないのかな。3年しかいないのかー。,応答なし
えっ、何だっけ。敷金と礼金を最初に払って、敷金だけ返ってくるんだっけ。敷金、でも全部返ってこないよね。,応答なし
でしょう?,応答なし
すばらしいー。すごいですねー。,応答なし
今、水銀とまちがえた。,応答なし
あ、そうなの?,応答なし
汚ねー。うん?,応答なし
彼氏が院ははなからやる気ないとか言って。別にやりたい仕事でもないしみたいこと言い出したんで。もう25なのに。いつまで経っても何かなーとか思って。,あと
でもさ、例えばポリッジみたいなとかさ、オートミール、かゆみたいにするとかさー。知らないけど。,応答なし
浜松に、あるみたいね、砂丘がね。,うん?それもあるよーとか
えー。,なんか、そういうふうでさあ?
有利ですよね。へえー。ああ、語学留学でもOKなんですね、それ。,応答なし
あ、いいよいいよ。,うん?これ何なんだ
終わりにする?,応答なし
西武でしたっけ。前何か解説してたことあったんですね。やっぱり元選手だけあ、あっ、うん、選手だったせいか、うまかったですねえ。あの一番で球を受けるのやってるでしょう。何か楽しそうにやってて、するとみんなほかのチームメートが真似するんだけど全然うまくいかなくて頭に当たったり、背中に当たったり、どっかあさっての方行っちゃったりして。,応答なし
20日焼いたら24日クッキーだから大丈夫よね。,応答なし
若者っぽい言葉?,応答なし
来た来た。,応答なし
どうなんだろう。,え?何、どういうことよーっ
だめだった。,なんかやっぱり、そうするとちょっともう何かすごいお
あなたが運転した後だったわけだし寝てもなんとも思わないよ。,応答なし
え、なに、今の音。,応答なし
うん、リップ・スライム、とー。,応答なし
。,あー、それでねえ2人で行ってよかったなと思うんだけどさ
うん。大きさは一緒かなー。えー、でもなんかすごく洋物になった感じでー、前はあのおせんべ屋さんのー、その1個1個取るのがー、すごい、と、うん、三越の特色かなーって思ってたしー。まあ、お父さんも大好きでしょ、あれが。,応答なし
じゃ、Jちゃんちへ行った人たちはみんなすごく驚いてた。駅で、Jさんち行ってくださいって言ったら、行けるらしい。もちろん、H、H宅だけどね。,そう
京阪に乗ってるおじさんはダラーって座ってるし、席と席の間も詰めないし。,応答なし
ま、それでもいいかもしれないけどね。,うんーんとだめですよな
え、姉ちゃん、聞くの?,応答なし
だから。,応答なし
あー。,でも、だからさその本にはなんかあの人たちって書いてあった
油あるでしょ。廃油をもうそのまんま入れるのと、それとその特殊なその会社?そういう燃料系の会社に、あのー交換してもらって。,応答なし
うん。9か月ってどんな感じ。うちが今3か月でしょう。,応答なし
これはね、高2んときのなんだ。,応答なし
試験内容また作り直さなければいけないの。,あれはね、なんかもう
で、それで無痛分娩を選ぶって言って。でも、無痛分娩っていうのは、ぜ、お、赤ちゃんにとって全然よくない。よくないっていうより、赤ちゃんにとっては自然分娩の状態で生まれてくることになって。ただ、自然分娩だけど、親がその自然の陣痛っていうか、陣痛っていうか、その最後のふんばるときの痛みがないっていう感じない、麻酔してるから。,応答なし
メジャーリーグが終わっちゃってつまんなくなっちゃったわ。,応答なし
うん、もう、何かね、何があってもとにかく。,うーんって言う
